product_code,product_name,id,product_id,group_code,set_item_label,part_no,part_name,material_code,material_kind,profile_shape,profile_code,dim_a_mm,dim_b_mm,wall_thickness_mm,cut_length_mm,qty,unit,waste_pct,weight_kg,total_length_m,paint_area_m2,volume_m3,unit_price,amount,note,sort_order,created_at,updated_at,section_title,unit_basis,material_note,tenon
CH0113HG-AL,Armchair,4a3a9ce1-3fda-4d53-9949-e4afd2a1db95,df8b1a79-e9a3-4514-b995-7239f1f0dacd,HARDWARE,,,Vít,VT-PK-VIT-M4X15,,,,,,,,4,con,0,,,,,,,,36,2026-07-27T08:39:58.82981+00:00,2026-07-27T08:39:58.82981+00:00,,,4x15mm ĐBĐC xi đen · Kim loại,
CH0187HG-AL,Bar Armchair,4a655ca5-f62a-4828-b9f2-3fa10f7bd36b,d74c0269-67ef-4343-979b-feef0e4277d9,PACKAGING,,,Cardboard lót tay vịn/ balet,VT-BB-CARDBOARD-LOT-TAY-VIN-BALET,,,,,,,,2,cái,0,,,,,,,,21,2026-07-27T08:39:51.973407+00:00,2026-07-27T08:39:51.973407+00:00,,,10x40x592mm · Bao bì,
CH0186HG-AL,Muba Sofa Chair,4a6d6699-baac-4624-bb0c-57810c841b7d,04734a47-3d9b-4882-ac6a-67235869bc2a,FRAME,,,Tựa giữa,VT-AL-HOP-12x40,AL,HOP,,12,40,,420,1,Cái,0,,,,,,,,11,2026-07-27T08:39:51.11612+00:00,2026-07-27T08:39:51.11612+00:00,,,Hộp 12x40x420mm · Nhôm,
BN0204HG-AL,Ghế ba bằng nhôm gỗ bạch đàn FSC,4a8cbd64-f99c-4560-bd9e-95d1560851fc,d7cc4ec4-9b1a-4022-a1a5-f85c8a8c680e,HARDWARE,,,M6x45,VT-PK-M6X45,,,,,,,,4,cái,0,,,,,,,,20,2026-07-27T08:40:28.444161+00:00,2026-07-27T08:40:28.444161+00:00,,,Thép/Nhựa,
CH0176HG-AL,Ghế 5 bậc Athos,4ab8ff6b-e8ce-4cff-9363-b3daf8df2b6a,a0d0c303-46c2-4387-8cce-7c68381c49dd,HARDWARE,,,"Tán dù 6x18, 7 màu",VT-PK-TANDU-M6X18,,,,,,,,2,con,0,,,,,,,,29,2026-07-27T08:40:14.779484+00:00,2026-07-27T08:40:14.779484+00:00,,,"Tán dù 6x18, 7 màu (6x25)",
TB0173HG-AL,"Bàn CNKG 65130x65x74 cm Khung nhôm, gỗ keo, Sơn graphit",4ab92906-ddb0-44f2-af0c-bcf6252ad980,5ee3362a-2b90-44ae-a276-666bd840086f,HARDWARE,,,"Eru 10,XT",VT-PK-ERU-10-XT-10MM,,,,,,,,4,con,0,,,,,,,,20,2026-07-27T08:40:12.237576+00:00,2026-07-27T08:40:12.237576+00:00,,,10mm,
CH0194HG-AL,Amr Chair,4ae216b6-1fad-4631-b20d-7d2af05053b9,ffa0cb6c-f29a-44dd-82d4-ac6c19ce1194,FRAME,,,Chân sau/ pát bị đầu,VT-AL-LA-2x24,AL,LA,,2,24,,40,2,Cái,0,,,,,,,,2,2026-07-27T08:39:57.991261+00:00,2026-07-27T08:39:57.991261+00:00,,,LA 2x24x2mm · Nhôm,
TB0182HG-AL,"Bàn CNKG Santorin 150200x90x74 cm Khung nhôm, chân vuông 76",4affeb2f-e5ec-493a-ac0e-f1d705a1edd2,ab1d308e-c1ed-413a-962e-fa0665835a57,WOOD,,,Nan ô giữa,VT-GO-10x46,WD,,,10,46,,500,15,Cái,0,,,,,,,,16,2026-07-27T08:40:11.363938+00:00,2026-07-27T08:40:11.363938+00:00,,,10x46x500mm · Gỗ Acacia,
CH0114HG-AL,"Ghế 5 bậc Santorin Khung nhôm, gỗ keo Tay ghế làm bằng gỗ cong",4ba8f046-c6cf-4d27-85a0-f432954f7a75,1959095d-7773-4766-a3b4-ebb37d852937,HARDWARE,,,Tán rút,VT-PK-TANRUT-TAN-RUT-6,,,,,,,,2,Con,0,,,,,,,Pat I và chân sau,16,2026-07-27T08:40:09.71892+00:00,2026-07-27T08:40:09.71892+00:00,,,6,
CH0188HG-AL,Stacking Armchair,4bb80ef0-5162-4eaf-8c46-491e00154629,e8973176-e4ea-48ca-af9b-3be8ebadfe91,FRAME,,,Chốt đỡ tay vịn,VT-AL-TRON-36,AL,TRON,,36,,2.9,47,1,Cái,0,,,,,,,,7,2026-07-27T08:39:52.817133+00:00,2026-07-27T08:39:52.817133+00:00,,,Tròn 36x47mm · Nhôm,
TB0199HG-IN,"Bàn CNKG Keros khung Inox 180(240)x100cm, nan gỗ keo FSC",4bbb1f43-5faa-4c07-939e-f12d167fa748,abbc34a3-c6cb-477d-8ec4-0fbed3012bb6,HARDWARE,,,Long đền,VT-PK-LONGDEN-M8X20,,,,,,,,2,cái,0,,,,,,,,36,2026-07-27T08:40:18.145781+00:00,2026-07-27T08:40:18.145781+00:00,,,8x20x2ly,
TB0199HG-IN,"Bàn CNKG Keros khung Inox 180(240)x100cm, nan gỗ keo FSC",4bcb00e9-f620-489d-b158-8f4d61a298f1,abbc34a3-c6cb-477d-8ec4-0fbed3012bb6,HARDWARE,,,Bộ ống típ,VT-PK-BO-ONG-TIP,,,,,,,,1,bộ,0,,,,,,,,26,2026-07-27T08:40:18.145781+00:00,2026-07-27T08:40:18.145781+00:00,,,,
CH0170HG-AL,Ghế 5 bậc Paxos,4be8eaac-6114-4016-ae85-bbb2cc2893f3,b6a4f71a-46ec-4e19-bd92-8bae4aed885f,HARDWARE,,,Hộp 7 bậc 2 lỗ 7 màu,VT-PK-HOP-7-BAC-2-LO-7-MAU-HOP-7-BAC-2-LO-7-MA,,,,,,,,2,con,0,,,,,,,,16,2026-07-27T08:40:07.00024+00:00,2026-07-27T08:40:07.00024+00:00,,,Hộp 7 bậc 2 lỗ 7 màu,
CH0184HG-AL,Rhone 2 Seater Aluminium Lounge,4c04785e-6b59-49cc-915e-cf99cd429340,f9856e48-3f95-4f76-aa47-20064c5e4460,HARDWARE,,,Tăng đơ,VT-PK-TANGDO-TANG-DO-6X20-25X10,,,,,,,,4,con,0,,,,,,,,17,2026-07-27T08:39:49.196697+00:00,2026-07-27T08:39:49.196697+00:00,,,6x20/25x10 · Ngũ kim,
TB0163HG-AL,"Bàn CN Tilos 150x90 cm, Khung nhôm , gỗ keo",4c28a454-9ed8-4105-9d4b-63b6913eab01,00f354d3-fe00-4fb9-a0e3-38327774ee15,FRAME,,,Nối chân,VT-AL-HOP-57x57,AL,HOP,,57,57,,10,4,Cái,0,,,,,,,,5,2026-07-27T08:40:00.532777+00:00,2026-07-27T08:40:00.532777+00:00,,,Hộp 57x57x1mm · Nhôm,
CH0195HG-IN,"Ghế 5 bậc Keros khung Inox, nan gỗ keo FSC",4c86b18e-a507-4b64-b2a6-17d7c54e6758,33351402-69c3-452c-800e-023b985a89f3,WOOD,,,Nan ngồi vẽ,VT-GO-23x25,WD,,,23,25,,375,9,cái,0,,,,,,,34,14,2026-07-27T08:40:20.883232+00:00,2026-07-27T08:40:20.883232+00:00,,,Gỗ 23x25x375mm · Gỗ keo,
SL0181HG-AL,Giường tắm nắng Paxos,4cc35278-0db9-481b-9c1e-e6e6de8c5161,061e7682-05b0-43e3-a65d-1d7921caa87b,FRAME,,,Doc Tựa,VT-AL-PF-TWHG07,AL,PF,TWHG07,23,30,,730,2,Cái,0,,,,,,,,4,2026-07-27T08:40:07.914699+00:00,2026-07-27T08:40:07.914699+00:00,,,TW-HG07 23x30x730mm · Nhôm,
CH0189HG-AL,Stacking Armchair,4ccecc80-219b-4d79-b415-8f104b1082f1,9d8c30ac-09ec-4dc2-8e68-42aeb736970f,HARDWARE,,,Nút,VT-PK-BITDAU-M40X15,,,,,,,,2,cái,0,,,,,,,,18,2026-07-27T08:39:53.627404+00:00,2026-07-27T08:39:53.627404+00:00,,,bịt đầu 40x15x15 · Ngũ kim,
CH0195HG-IN,"Ghế 5 bậc Keros khung Inox, nan gỗ keo FSC",4cd5e1fd-6c33-4720-a2c6-b7383ced013e,33351402-69c3-452c-800e-023b985a89f3,WOOD,,,Tựa lưng + đố trước sau,VT-GO-23x50,WD,,,23,50,,420,3,cái,0,,,,,,,20,12,2026-07-27T08:40:20.883232+00:00,2026-07-27T08:40:20.883232+00:00,,,Gỗ 23x50x420mm · Gỗ keo,
TB0171HG-AL,"Bàn C Khung nhôm, gỗ keo",4ce39f2f-9792-49c4-86e3-51ef1d5379b0,abeb5e10-1330-4722-b5e3-2e545cf71042,HARDWARE,,,Ty ren 2 đầu,VT-PK-TY-REN-2-DAU-SAT-DAC-10MM-DAI-587MM,,,,,,,,2,Cây,0,,,,,,,"mỗi đầu 25mm, không cán bông giữa, xi trắng, thân ốm, sắt kéo, không dập lỗ khóa ren, hàn chết 1 Eru 10 chính giữa thân cây",7,2026-07-27T08:40:08.829918+00:00,2026-07-27T08:40:08.829918+00:00,,,"Sắt đặc 10mm, dài 587mm · Sắt",
