code_moi,code_cu,ma_vat_lieu,ten_san_pham,nguon_ma,file_bom
ST000085HG-IR,S0085HG-IR,IR,Lucas sofa set,Từ file TỔNG HỢP,(chưa có file BOM)
ST000086HG-AL,S0086HG-AL,AL,Wilder 8-piece Sectional,Từ file TỔNG HỢP,(chưa có file BOM)
ST000087HG-AL,S0087HG-AL,AL,Sofa set - Bank I,Từ file BOM,S0087HG-AL-Sofa set - CASUAL.xlsx
ST000088HG-AL,S0088HG-AL,AL,Airm chair,Từ file BOM,BKQC - sybil -airm chair - 44 .xlsx
ST000089HG-IR,S0089HG-IR,IR,SOFA SET - BANK I,Từ file BOM,S0047HG-AL-SOFA SET KHUNG NHÔM.xlsx
ST000092HG-AL,S0092HG-AL,AL,SOFA SET,Từ file TỔNG HỢP,(chưa có file BOM)
ST000094HG-AL,S0094HG-AL,AL,Bank 3 20x65,Từ file BOM,BKQC - S0094HG-AL- Sofa 20x65.xlsx
ST000095HG-IR,S0095HG-IR,IR,SOFA SET ĐAN MÂY MẶT BÀN GỖ,Từ file TỔNG HỢP,(chưa có file BOM)
ST000096HG-AL,S0096HG-AL,AL,Bank 2,Từ file BOM,BKQC - S0096HG-AL- Sofa Góc-Nhôm .xlsx
ST000097HG-AL,S0097HG-AL,AL,Table,Từ file BOM,BKQC - Bộ sofa đan dây + bàn gỗ keo.xlsx
ST000098HG-AL,S0098HG-AL,AL,Sofa Set - bank1,Từ file BOM,BKQC - S0098HG-AL - GD99622 COFFEE SET.xlsx
ST000099HG-IR,S0099HG-IR,IR,Bank 1,ĐỀ XUẤT - cần duyệt,BKQC - - JOY GARDEN - LOUNGE CORNER SET - CORNER - KHUNG SẮT ĐAN.xlsx
ST000100HG-IR,S0100HG-IR,IR,Bank 2,ĐỀ XUẤT - cần duyệt,BKQC - - JOY GARDEN - LOUNGE CORNER SET - CORNER - KHUNG SẮT ĐAN.xlsx
ST000101HG-IR,S0101HG-IR,IR,Bank L+R,ĐỀ XUẤT - cần duyệt,BKQC - - JOY GARDEN - LOUNGE CORNER SET - CORNER - KHUNG SẮT ĐAN.xlsx
ST000102HG-IR,S0102HG-IR,IR,Góc,ĐỀ XUẤT - cần duyệt,BKQC - - JOY GARDEN - LOUNGE CORNER SET - CORNER - KHUNG SẮT ĐAN.xlsx
ST000103HG-AL,S0103HG-AL,AL,Sofa bench,ĐỀ XUẤT - cần duyệt,BKQC - Alu Sofa Set - dây dù.xlsx
ST000104HG-AL,S0104HG-AL,AL,Big Table,ĐỀ XUẤT - cần duyệt,BKQC - Alu Sofa Set - dây dù.xlsx
ST000105HG-AL,S0105HG-AL,AL,Amr Chair,ĐỀ XUẤT - cần duyệt,BKQC - Alu Sofa Set - dây dù.xlsx
ST000106HG-AL,S0106HG-AL,AL,Small Table,ĐỀ XUẤT - cần duyệt,BKQC - Alu Sofa Set - dây dù.xlsx
ST000107HG-AL,S0107HG-AL,AL,Bàn (P340-701),ĐỀ XUẤT - cần duyệt,BKQC - Bộ sofa B340.xlsx
ST000108HG-AL,S0108HG-AL,AL,Bàn vuông (P340-702),ĐỀ XUẤT - cần duyệt,BKQC - Bộ sofa B340.xlsx
ST000109HG-AL,S0109HG-AL,AL,Ghế 1 (P340-820),ĐỀ XUẤT - cần duyệt,BKQC - Bộ sofa B340.xlsx
ST000110HG-AL,S0110HG-AL,AL,Ghế Bank 2 (P340-835),ĐỀ XUẤT - cần duyệt,BKQC - Bộ sofa B340.xlsx
ST000111HG-AL,S0111HG-AL,AL,Ghế Bank 3 (P340-838),ĐỀ XUẤT - cần duyệt,BKQC - Bộ sofa B340.xlsx
ST000112HG-AL,S0112HG-AL,AL,Bank 1,ĐỀ XUẤT - cần duyệt,BKQC - Bộ sofa đan dây + bàn gỗ keo.xlsx
ST000113HG-AL,S0113HG-AL,AL,Bank 1,ĐỀ XUẤT - cần duyệt,BKQC - Bộ sofa đan dây + bàn gỗ keo.xlsx
ST000114HG-IR,S0114HG-IR,IR,Round Table Chat Set 3PCS,ĐỀ XUẤT - cần duyệt,BKQC - Chat Set 3PCS.xlsx
ST000115HG-IR,S0115HG-IR,IR,Chair Chat Set 3PCS,ĐỀ XUẤT - cần duyệt,BKQC - Chat Set 3PCS.xlsx
ST000116HG-IR,S0116HG-IR,IR,Bàn,ĐỀ XUẤT - cần duyệt,BKQC - DINING SET.xlsx
ST000117HG-AL,S0117HG-AL,AL,DINING CHAIR,ĐỀ XUẤT - cần duyệt,BKQC - DINING SET.xlsx
ST000118HG-AL,S0118HG-AL,AL,BÀN Nan nhôm dán giấy hộp 10x86,ĐỀ XUẤT - cần duyệt,BKQC - LYPRODAN SET - Nan bàn và tay vịn dán giấy.xlsx
ST000119HG-AL,S0119HG-AL,AL,Ghế 1,ĐỀ XUẤT - cần duyệt,BKQC - LYPRODAN SET - Nan bàn và tay vịn dán giấy.xlsx
ST000120HG-AL,S0120HG-AL,AL,Ghế 2,ĐỀ XUẤT - cần duyệt,BKQC - LYPRODAN SET - Nan bàn và tay vịn dán giấy.xlsx
ST000121HG-AL,S0121HG-AL,AL,Đôn,ĐỀ XUẤT - cần duyệt,BKQC - LYPRODAN SET - Nan bàn và tay vịn dán giấy.xlsx
ST000122HG-AL,S0122HG-AL,AL,Sofa Amr Chair,ĐỀ XUẤT - cần duyệt,BKQC - S0006HG-AL SOFA SET -hộp 20x100 - Nan bàn nhôm gián giấy.xlsx
ST000123HG-AL,S0123HG-AL,AL,Sofa bench 3,ĐỀ XUẤT - cần duyệt,BKQC - S0006HG-AL SOFA SET -hộp 20x100 - Nan bàn nhôm gián giấy.xlsx
ST000124HG-AL,S0124HG-AL,AL,Table,ĐỀ XUẤT - cần duyệt,BKQC - S0006HG-AL SOFA SET -hộp 20x100 - Nan bàn nhôm gián giấy.xlsx
ST000125HG-AL,S0125HG-AL,AL,Licosa Set  nan Polywood,ĐỀ XUẤT - cần duyệt,BKQC - S0029HG-AL  Licosa Set-CŨ.xlsx
ST000126HG-IR,S0126HG-IR,IR,Bàn,ĐỀ XUẤT - cần duyệt,BKQC - SOFA SET.xlsx
ST000127HG-IR,S0127HG-IR,IR,Ghế Băng 1,ĐỀ XUẤT - cần duyệt,BKQC - SOFA SET.xlsx
ST000128HG-IR,S0128HG-IR,IR,Ghế Băng 3,ĐỀ XUẤT - cần duyệt,BKQC - SOFA SET.xlsx
ST000129HG-IR,S0129HG-IR,IR,Đôn,ĐỀ XUẤT - cần duyệt,BKQC - SOFA SET.xlsx
ST000130HG-AL,S0130HG-AL,AL,Big Table (Tháo chân ),ĐỀ XUẤT - cần duyệt,BKQC - Sofa set - bàn nan ghỗ.xlsx
ST000131HG-AL,S0131HG-AL,AL,Big Table (Tháo chân ),ĐỀ XUẤT - cần duyệt,BKQC - Sofa set - bàn nan ghỗ.xlsx
ST000132HG-AL,S0132HG-AL,AL,Left Bench (Tháo chân ),ĐỀ XUẤT - cần duyệt,BKQC - Sofa set - bàn nan ghỗ.xlsx
ST000133HG-AL,S0133HG-AL,AL,Right Bench (Tháo chân ),ĐỀ XUẤT - cần duyệt,BKQC - Sofa set - bàn nan ghỗ.xlsx
ST000134HG-AL,S0134HG-AL,AL,Ghế STOOL (full set 1 ghế ),ĐỀ XUẤT - cần duyệt,BKQC - Sofa set- mê ngồi vải.xlsx
ST000135HG-AL,S0135HG-AL,AL,Ghế  (full set 2 ghế ),ĐỀ XUẤT - cần duyệt,BKQC - Sofa set- mê ngồi vải.xlsx
ST000136HG-AL,S0136HG-AL,AL,Ghế 3 (full set 1 ghế ),ĐỀ XUẤT - cần duyệt,BKQC - Sofa set- mê ngồi vải.xlsx
ST000137HG-AL,S0137HG-AL,AL,Big Table,ĐỀ XUẤT - cần duyệt,BKQC - Sofa set- mê ngồi vải.xlsx
ST000138HG-AL,S0138HG-AL,AL,Bàn nhỏ,ĐỀ XUẤT - cần duyệt,BKQC - Sofa set- mê ngồi vải.xlsx
SL000001HG-IR,SU001HG-IR,IR,"Giường tắm nắng
Khung giường: 20x40",Từ file TỔNG HỢP,(chưa có file BOM)
SL000002HG-IR,SU002HG-IR,IR,"Giường tắm nắng
Khung giường: 25x50",Từ file TỔNG HỢP,(chưa có file BOM)
SL000003HG-AL,SU003HG-AL,AL,GTN khung nhôm,Từ file TỔNG HỢP,(chưa có file BOM)
SL000005HG-IR,SU005HG-IR,IR,GIƯỜNG TẮM NĂNG KHUNG SẮT ĐAN MÂY,Từ file TỔNG HỢP,(chưa có file BOM)
SL000006HG-IR,SU006HG-IR,IR,Giường đôi có mái che - Khung sắt - Chân dán giấy,Từ file TỔNG HỢP,(chưa có file BOM)
SL000007HG-AL,SU007HG-AL,AL,Outdoor chaise lounge,Từ file BOM,BKQC - SU007HG-AL - 2504-1-US-PH-128 - Outdoor chaise lounge white textilene.xlsx
SL000008HG-AL,SU008HG-AL,AL,Outdoor chaise lounge,Từ file BOM,BKQC - SU008HG-AL - 2504-1-US-PH-111 Outdoor chaise lounge gray cushion.xlsx
SL000009HG-IR,SU009HG-IR,IR,Outdoor chaise lounge,Từ file BOM,BKQC - SU009HG-IR - 2504-1-US-PH-125- Outdoor chaise lounge - rope+cushion.xlsx
